run_index,stage,destination_layer,source_layer,source_offset,alpha,beta_mode,ramp_tokens,normalization_mode,mean_nll,perplexity,perplexity_reduction_percent,elapsed_seconds
38,coarse,6,14,8,0.1,convex,,norm_matched,2.634001350123162,13.929394926418654,-0.102199528705446,64.29733207699974
39,coarse,6,14,8,0.16,convex,,norm_matched,2.6356362659094503,13.952186940512297,-0.26599205196399056,64.29154052000013
40,coarse,6,16,10,0.05,convex,,norm_matched,2.6313438518655614,13.892426726891879,0.1634687293053647,64.27831613799981
41,coarse,6,16,10,0.1,convex,,norm_matched,2.6299389215042397,13.872922539011855,0.30363361924674676,64.10923401300033
42,coarse,6,16,10,0.16,convex,,norm_matched,2.629265952553101,13.863589633611557,0.3707036078211403,64.23658617799992
43,coarse,6,18,12,0.05,convex,,norm_matched,2.6312929436724675,13.891719506551329,0.1685510973489461,64.27084476600021
44,coarse,6,18,12,0.1,convex,,norm_matched,2.628991113263724,13.859779898044927,0.3980818903565236,64.16632158399989
45,coarse,6,18,12,0.16,convex,,norm_matched,2.6275648158899383,13.840025821317829,0.540042581433703,64.15587128100015
46,coarse,8,12,4,0.05,convex,,norm_matched,2.6322602828926356,13.90516401331655,0.07193349795669013,61.034511115999976
47,coarse,8,12,4,0.1,convex,,norm_matched,2.6315042394580264,13.894655078463295,0.14745490423971633,61.05819528499978
48,coarse,8,12,4,0.16,convex,,norm_matched,2.6311040021340752,13.889095031640819,0.18741162306005812,60.81918518400016
49,coarse,8,14,6,0.05,convex,,norm_matched,2.6316638963546453,13.896873633071772,0.1315114840655972,61.08771417200023
50,coarse,8,14,6,0.1,convex,,norm_matched,2.6312179985517163,13.890678428967801,0.17603269698350868,61.16898931500009
51,coarse,8,14,6,0.16,convex,,norm_matched,2.6316266311578387,13.896355772989978,0.13523303360235647,61.11934983399988
52,coarse,8,16,8,0.05,convex,,norm_matched,2.6309792110414216,13.887361904437519,0.1998665678749496,61.27570235599978
53,coarse,8,16,8,0.1,convex,,norm_matched,2.62929233981484,13.863955460606423,0.3680746288147661,61.07311895299972
54,coarse,8,16,8,0.16,convex,,norm_matched,2.629370872575866,13.865044278060848,0.36024995138628035,61.20851904900019
55,coarse,8,18,10,0.05,convex,,norm_matched,2.6314424077087133,13.893795974193926,0.15362877090388669,60.983554539000124
56,coarse,8,18,10,0.1,convex,,norm_matched,2.630974357370524,13.887294499916779,0.2003509637026148,61.21252048899987
57,coarse,8,18,10,0.16,convex,,norm_matched,2.6316287102121296,13.89638466429811,0.13502540911424926,61.264171042999806
58,coarse,8,20,12,0.05,convex,,norm_matched,2.6331408310495865,13.91741357223235,-0.016096728568251298,61.37724905499999
59,coarse,8,20,12,0.1,convex,,norm_matched,2.6348577376567954,13.941328995949512,-0.1879625224088991,61.37261010600014
60,coarse,8,20,12,0.16,convex,,norm_matched,2.6388904929510657,13.997664481531771,-0.5928118391302075,61.164531702000204
61,coarse,10,14,4,0.05,convex,,norm_matched,2.6336830510072344,13.924961917876946,-0.07034215744857131,57.99406623499999
62,coarse,10,14,4,0.1,convex,,norm_matched,2.6352902854176445,13.947360590972389,-0.23130797507542394,58.074817915000494
63,coarse,10,14,4,0.16,convex,,norm_matched,2.637044301189169,13.971845948994588,-0.407269544635152,57.78284862599958
64,coarse,10,16,6,0.05,convex,,norm_matched,2.6329456188462,13.914696988427254,0.003425728475337386,57.97244230300021
65,coarse,10,16,6,0.1,convex,,norm_matched,2.634147681856668,13.931433388067102,-0.11684872888553102,58.107074536000255
66,coarse,10,16,6,0.16,convex,,norm_matched,2.637023681885802,13.971557862234453,-0.4051992380283758,57.97447914999975
67,coarse,10,18,8,0.05,convex,,norm_matched,2.6334178413929945,13.921269373769142,-0.043806059577814395,57.98536950700054
68,coarse,10,18,8,0.1,convex,,norm_matched,2.634579211386068,13.937446510287513,-0.16006142860994244,58.086995241000295
69,coarse,10,18,8,0.16,convex,,norm_matched,2.6365706092101737,13.965229164919286,-0.3597186895374918,57.707843307000076
70,coarse,10,20,10,0.05,convex,,norm_matched,2.633758773435479,13.926016389729662,-0.07792001365522266,58.004547010999886
71,coarse,10,20,10,0.1,convex,,norm_matched,2.634683917228311,13.93890591876605,-0.1705493212631478,57.906600340000296
72,coarse,10,20,10,0.16,convex,,norm_matched,2.638239704152589,13.988557921827287,-0.5273684611964353,57.6611911279997
73,coarse,10,22,12,0.05,convex,,norm_matched,2.637813818011932,13.982601657315882,-0.4845643636950067,58.15027900200005
74,coarse,10,22,12,0.1,convex,,norm_matched,2.6485558432451324,14.133612747506618,-1.5697904170284585,57.62623374499998
75,coarse,10,22,12,0.16,convex,,norm_matched,2.672634338586794,14.47805910968066,-4.0451196510275444,57.696021616999985
76,coarse,12,16,4,0.05,convex,,norm_matched,2.633941005635005,13.92855438957262,-0.09615909496676359,54.57726342799998
77,coarse,12,16,4,0.1,convex,,norm_matched,2.6353888007669273,13.948734687756282,-0.241182783791784,54.59721871599993
78,coarse,12,16,4,0.16,convex,,norm_matched,2.6382561269510294,13.988787654980932,-0.5290194154630096,54.61397691700006
79,coarse,12,18,6,0.05,convex,,norm_matched,2.633876233040296,13.927652230182177,-0.08967581699339988,55.834941469
80,coarse,12,18,6,0.1,convex,,norm_matched,2.6348014412737313,13.940544171643523,-0.18232246125132426,54.842711398000006
81,coarse,12,18,6,0.16,convex,,norm_matched,2.6377789779609015,13.982114511246749,-0.48106353732963997,54.283191011999975
82,coarse,12,20,8,0.05,convex,,norm_matched,2.6337777870258394,13.926281175817907,-0.07982287232050694,54.907039162000046
83,coarse,12,20,8,0.1,convex,,norm_matched,2.634947788097758,13.942584475300588,-0.19698489884158119,55.03946273700001
84,coarse,12,20,8,0.16,convex,,norm_matched,2.639611714338394,14.007763537918468,-0.6653876949238705,54.94862470400005
85,coarse,12,22,10,0.05,convex,,norm_matched,2.636609857674335,13.965777289472124,-0.3636577316598935,54.866742241
86,coarse,12,22,10,0.1,convex,,norm_matched,2.6451583243068946,14.085675011327146,-1.2252906841010256,55.07706620099998
87,coarse,12,22,10,0.16,convex,,norm_matched,2.661418061801765,14.316576501151015,-2.884641081438569,55.227066282999886
88,coarse,14,18,4,0.05,convex,,norm_matched,2.6344927639089604,13.9362417052763,-0.15140321823808572,51.5181696090001
89,coarse,14,18,4,0.1,convex,,norm_matched,2.636049518836908,13.957953914137194,-0.3074358294953021,51.500420394
90,coarse,14,18,4,0.16,convex,,norm_matched,2.638710329376474,13.995142839423695,-0.5746903110397136,51.448662211000055
91,coarse,14,20,6,0.05,convex,,norm_matched,2.634473755212823,13.935976798010204,-0.1494994887403239,51.53708796799992
92,coarse,14,20,6,0.1,convex,,norm_matched,2.6366271022943923,13.966018126071846,-0.36538847972803284,51.41155241399997
93,coarse,14,20,6,0.16,convex,,norm_matched,2.641066594906916,14.028157993049101,-0.8119504011684817,51.43941212899995
94,coarse,14,22,8,0.05,convex,,norm_matched,2.6361056997978793,13.958738107429443,-0.31307135593593166,51.201142177000065
95,coarse,14,22,8,0.1,convex,,norm_matched,2.643038377442551,14.05584575814209,-1.0109257479429192,51.48365713999988
96,coarse,14,22,8,0.16,convex,,norm_matched,2.6554376420037835,14.231212873191577,-2.2711839310290305,51.36018786300019
