
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights:  50%|████▉     | 144/290 [00:00<00:00, 1439.10it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1717.18it/s]
dense_full_trainable_parameters=494032768
      "loss": 1.6724541299445264,
      "grad_norm": 94.30707550048828
    },
    {
      "step": 275,
      "loss": 1.457651393735432,
      "grad_norm": 70.25373077392578
    },
    {
      "step": 300,
      "loss": 1.763617634321463,
      "grad_norm": 119.7933120727539
    },
    {
      "step": 325,
      "loss": 1.0662383034650702,
      "grad_norm": 68.90690612792969
    },
    {
      "step": 350,
      "loss": 1.5600349970336538,
      "grad_norm": 211.77047729492188
    },
    {
      "step": 375,
      "loss": 2.4245209991931915,
      "grad_norm": 109.08477020263672
    },
    {
      "step": 400,
      "loss": 2.012132178962929,
      "grad_norm": 130.2181854248047
    },
    {
      "step": 425,
      "loss": 1.9493959993124008,
      "grad_norm": 81.4017105102539
    },
    {
      "step": 450,
      "loss": 1.649536011100281,
      "grad_norm": 113.61769104003906
    },
    {
      "step": 475,
      "loss": 1.3868462890301316,
      "grad_norm": 101.1407699584961
    },
    {
      "step": 500,
      "loss": 2.119387164711952,
      "grad_norm": 133.02395629882812
    },
    {
      "step": 525,
      "loss": 1.5673123821616173,
      "grad_norm": 91.63037872314453
    },
    {
      "step": 550,
      "loss": 1.6680200467890245,
      "grad_norm": 130.86572265625
    },
    {
      "step": 575,
      "loss": 1.510295725427568,
      "grad_norm": 104.8376235961914
    },
    {
      "step": 600,
      "loss": 1.5007400288030794,
      "grad_norm": 132.89505004882812
    },
    {
      "step": 625,
      "loss": 1.5205285086453841,
      "grad_norm": 114.95780181884766
    },
    {
      "step": 650,
      "loss": 1.5177592933177948,
      "grad_norm": 118.26143646240234
    },
    {
      "step": 675,
      "loss": 2.0505196452077143,
      "grad_norm": 100.8117904663086
    },
    {
      "step": 700,
      "loss": 1.5060419104993343,
      "grad_norm": 91.97361755371094
    },
    {
      "step": 725,
      "loss": 1.8623885437846184,
      "grad_norm": 112.6603775024414
    },
    {
      "step": 750,
      "loss": 1.6240527298650704,
      "grad_norm": 177.1227569580078
    },
    {
      "step": 775,
      "loss": 1.3892312380485237,
      "grad_norm": 96.99224853515625
    },
    {
      "step": 800,
      "loss": 1.1766448317762297,
      "grad_norm": 164.0832977294922
    },
    {
      "step": 825,
      "loss": 0.8594319375697523,
      "grad_norm": 97.51045227050781
    },
    {
      "step": 850,
      "loss": 0.842885988764337,
      "grad_norm": 96.1808090209961
    },
    {
      "step": 875,
      "loss": 1.0544234177609724,
      "grad_norm": 99.6546401977539
    },
    {
      "step": 900,
      "loss": 1.1385082818742376,
      "grad_norm": 96.54065704345703
    },
    {
      "step": 925,
      "loss": 0.7922962492880288,
      "grad_norm": 96.70885467529297
    },
    {
      "step": 950,
      "loss": 0.760913636535399,
      "grad_norm": 87.2621078491211
    },
    {
      "step": 975,
      "loss": 1.5943790078163111,
      "grad_norm": 115.3440933227539
    },
    {
      "step": 1000,
      "loss": 1.7275050580473703,
      "grad_norm": 181.52769470214844
    },
    {
      "step": 1025,
      "loss": 1.1027789981378646,
      "grad_norm": 79.4096908569336
    },
    {
      "step": 1050,
      "loss": 0.37396780941162433,
      "grad_norm": 77.59920501708984
    },
    {
      "step": 1075,
      "loss": 0.5949785167140362,
      "grad_norm": 102.76140594482422
    },
    {
      "step": 1100,
      "loss": 1.7547978907823563,
      "grad_norm": 352.7551574707031
    },
    {
      "step": 1125,
      "loss": 0.49463083036243827,
      "grad_norm": 107.1548080444336
    },
    {
      "step": 1150,
      "loss": 0.945381229743333,
      "grad_norm": 122.14883422851562
    },
    {
      "step": 1175,
      "loss": 0.5181324381846926,
      "grad_norm": 72.85472869873047
    },
    {
      "step": 1200,
      "loss": 0.7238751882505312,
      "grad_norm": 98.53080749511719
    },
    {
      "step": 1225,
      "loss": 0.6633123513310926,
      "grad_norm": 152.03558349609375
    },
    {
      "step": 1250,
      "loss": 0.6016640174202612,
      "grad_norm": 92.72482299804688
    },
    {
      "step": 1275,
      "loss": 0.990285400301218,
      "grad_norm": 119.3690185546875
    },
    {
      "step": 1300,
      "loss": 1.0986744424058088,
      "grad_norm": 154.29476928710938
    },
    {
      "step": 1325,
      "loss": 0.7173786357307064,
      "grad_norm": 159.9576416015625
    },
    {
      "step": 1350,
      "loss": 0.6781332557618214,
      "grad_norm": 159.82498168945312
    },
    {
      "step": 1375,
      "loss": 0.6659931946951394,
      "grad_norm": 192.33267211914062
    },
    {
      "step": 1400,
      "loss": 1.3602425754017844,
      "grad_norm": 272.9064025878906
    },
    {
      "step": 1425,
      "loss": 0.7310488414878478,
      "grad_norm": 108.22755432128906
    },
    {
      "step": 1450,
      "loss": 1.0972308777172657,
      "grad_norm": 149.73866271972656
    },
    {
      "step": 1475,
      "loss": 0.9840570278665801,
      "grad_norm": 126.1022720336914
    },
    {
      "step": 1500,
      "loss": 0.9195937560732546,
      "grad_norm": 140.05728149414062
    },
    {
      "step": 1525,
      "loss": 0.8203766383221591,
      "grad_norm": 182.6637725830078
    },
    {
      "step": 1550,
      "loss": 0.22568823583423736,
      "grad_norm": 64.73429870605469
    },
    {
      "step": 1575,
      "loss": 0.16241206042454248,
      "grad_norm": 117.73092651367188
    },
    {
      "step": 1600,
      "loss": 0.8425312032923102,
      "grad_norm": 155.74855041503906
    },
    {
      "step": 1625,
      "loss": 1.079132210333512,
      "grad_norm": 377.86358642578125
    },
    {
      "step": 1650,
      "loss": 0.371711561223492,
      "grad_norm": 192.15089416503906
    },
    {
      "step": 1675,
      "loss": 0.18395785869761738,
      "grad_norm": 222.75453186035156
    },
    {
      "step": 1700,
      "loss": 0.3842095218851682,
      "grad_norm": 98.7720718383789
    },
    {
      "step": 1725,
      "loss": 1.5335881387581978,
      "grad_norm": 299.1214294433594
    },
    {
      "step": 1750,
      "loss": 0.06503184866653555,
      "grad_norm": 42.646854400634766
    },
    {
      "step": 1775,
      "loss": 2.2888656677676664,
      "grad_norm": 416.6645202636719
    },
    {
      "step": 1800,
      "loss": 0.03575714027669985,
      "grad_norm": 30.996562957763672
    },
    {
      "step": 1825,
      "loss": 0.16229850753168762,
      "grad_norm": 370.9717712402344
    },
    {
      "step": 1850,
      "loss": 0.24014087653620209,
      "grad_norm": 921.6577758789062
    },
    {
      "step": 1875,
      "loss": 0.04779603288193357,
      "grad_norm": 113.8788833618164
    },
